ano,cbo,n,mean_h,p50,pct_30,pct_36,pct_40,pct_44,d_mean_h,d_pct_30,d_pct_36,d_pct_40,d_pct_44,score_drop44,score_rise36,score_drop_mean
2012,5231,36273,43.76958067984452,44,0.0006892178755548204,0.0010200424558211342,0.007085159760703554,0.9824662972458854,0.02051538117484597,-0.00012230576007106724,-0.0003421579325508914,0.0013755113243357018,1.0043728019271114e-06,1.0043728019271114e-06,-0.0003421579325508914,0.02051538117484597
2013,5231,37660,43.77320764737123,44,0.0005310674455655868,0.001088688263409453,0.006930430164630908,0.9819968135953266,0.003626967526706437,-0.00015815042998923359,6.864580758831891e-05,-0.0001547295960726454,-0.0004694836505587663,-0.0004694836505587663,6.864580758831891e-05,0.003626967526706437
2014,5231,37089,43.76950039095151,44,0.00037747040901615035,0.0012132977432661976,0.007144975599234275,0.9817735716789344,-0.0037072564197231372,-0.00015359703654943644,0.00012460947985674454,0.00021454543460336633,-0.00022324191639222501,-0.00022324191639222501,0.00012460947985674454,-0.0037072564197231372
2015,5231,33748,43.74845916795067,44,0.0006222590968353681,0.001274149579234325,0.009689463079293588,0.9768578878748371,-0.021041223000835885,0.0002447886878192177,6.085183596812741e-05,0.0025444874800593133,-0.004915683804097348,-0.004915683804097348,6.085183596812741e-05,-0.021041223000835885
2016,5231,29840,43.73569034852547,44,0.000871313672922252,0.0019101876675603217,0.00975201072386059,0.9735254691689008,-0.012768819425197364,0.0002490545760868839,0.0006360380883259967,6.25476445670018e-05,-0.0033324187059362576,-0.0033324187059362576,0.0006360380883259967,-0.012768819425197364
2017,5231,28671,43.74273656307768,44,0.0006626905235255136,0.001953193121969935,0.007777894039273133,0.9779916989292317,0.007046214552204333,-0.00020862314939673837,4.300545440961306e-05,-0.0019741166845874568,0.004466229760330842,0.004466229760330842,4.300545440961306e-05,0.007046214552204333
2018,5231,28735,43.69451887941535,44,0.0005568122498694971,0.0014964329215242736,0.01082303810683835,0.9740386288498347,-0.04821768366232959,-0.00010587827365601647,-0.0004567602004456612,0.003045144067565218,-0.0039530700793969364,-0.0039530700793969364,-0.0004567602004456612,-0.04821768366232959
2019,5231,28134,43.69762564868131,44,0.00046207435842752543,0.0020260183407976116,0.01290253785455321,0.9699651667022109,0.003106769265961873,-9.473789144197168e-05,0.000529585419273338,0.002079499747714859,-0.00407346214762383,-0.00407346214762383,0.000529585419273338,0.003106769265961873
2003,5241,41016,43.51984591378972,44,0.001974839087185489,0.009094012092841818,0.021845133606397504,0.9493124634289057,,,,,,,,
2004,5241,45264,43.59166224814424,44,0.0015685754683633793,0.01698921880523153,0.017254330151997174,0.9540031813361611,0.07181633435451573,-0.00040626361882210946,0.007895206712389713,-0.004590803454400331,0.004690717907255393,0.004690717907255393,0.007895206712389713,0.07181633435451573
2005,5241,49463,43.56636273578231,44,0.002365404443725613,0.01461698643430443,0.01453611790631381,0.9559266522451125,-0.025299512361925736,0.0007968289753622335,-0.0023722323709271017,-0.0027182122456833636,0.0019234709089513968,0.0019234709089513968,-0.0023722323709271017,-0.025299512361925736
2006,5241,49938,43.589831390924736,44,0.0028835756337858946,0.01133405422724178,0.014598101646041091,0.9588890223877609,0.023468655142423245,0.0005181711900602817,-0.003282932207062649,6.1983739727281e-05,0.0029623701426483295,0.0029623701426483295,-0.003282932207062649,0.023468655142423245
2007,5241,50987,43.6398101476847,44,0.0023927667836899603,0.00906113323003903,0.015984466628748504,0.961519603036068,0.04997875675996255,-0.0004908088500959343,-0.0022729209972027504,0.001386364982707413,0.0026305806483071237,0.0026305806483071237,-0.0022729209972027504,0.04997875675996255
2008,5241,57444,43.575969639997204,44,0.0019149084325604067,0.009139335700856486,0.03056890188705522,0.9468874033841654,-0.06384050768749461,-0.00047785835112955366,7.820247081745564e-05,0.014584435258306716,-0.014632199651902544,-0.014632199651902544,7.820247081745564e-05,-0.06384050768749461
2009,5241,61500,43.63980487804877,44,0.0020975609756097562,0.009235772357723578,0.022845528455284553,0.9552520325203252,0.06383523805156699,0.00018265254304934957,9.643665686709206e-05,-0.0077233734317706665,0.008364629136159762,0.008364629136159762,9.643665686709206e-05,0.06383523805156699
2010,5241,68015,43.426244210835826,44,0.0024847460119091377,0.011085789899286921,0.03311034330662354,0.9337793133867529,-0.21356066721294553,0.00038718503629938143,0.0018500175415633435,0.010264814851338986,-0.021472719133572293,-0.021472719133572293,0.0018500175415633435,-0.21356066721294553
2011,5241,73769,43.18990361805093,44,0.004636093752118099,0.009055294229283303,0.03280510783662514,0.923884016321219,-0.23634059278489872,0.002151347740208961,-0.0020304956700036188,-0.00030523546999840223,-0.009895297065533937,-0.009895297065533937,-0.0020304956700036188,-0.23634059278489872
2012,5241,79858,43.213366225049455,44,0.0017280673194920984,0.007776302937714443,0.04128578226351774,0.9250169050063863,0.0234626069985282,-0.0029080264326260003,-0.0012789912915688595,0.008480674426892605,0.0011328886851673658,0.0011328886851673658,-0.0012789912915688595,0.0234626069985282
2013,5241,73893,43.374379169880775,44,0.0017187013654879353,0.008255179786989295,0.04978820727267806,0.9230644310015834,0.16101294483132023,-9.365954004163105e-06,0.00047887684927485144,0.00850242500916032,-0.0019524740048029177,-0.0019524740048029177,0.00047887684927485144,0.16101294483132023
2014,5241,78093,43.58336854775717,44,0.0012164982776945437,0.00870756661928726,0.0387870871909134,0.9395976592012089,0.20898937787639227,-0.0005022030877933916,0.0004523868322979657,-0.01100112008176466,0.016533228199625438,0.016533228199625438,0.0004523868322979657,0.20898937787639227
2015,5241,81283,43.564300038138356,44,0.002546657972761832,0.008095173652547274,0.040377446698571656,0.9367887504152159,-0.019068509618811902,0.0013301596950672883,-0.0006123929667399865,0.0015903595076582552,-0.0028089087859929363,-0.0028089087859929363,-0.0006123929667399865,-0.019068509618811902
2016,5241,77332,43.54909998448249,44,0.0027543578337557544,0.005456990637769617,0.044612838152381935,0.9336497180985879,-0.015200053655867407,0.00020769986099392242,-0.002638183014777657,0.004235391453810279,-0.003139032316628043,-0.003139032316628043,-0.002638183014777657,-0.015200053655867407
2017,5241,78386,43.51791136172275,44,0.00262802030974919,0.007807516648381089,0.05146327150256423,0.924820758808971,-0.03118862275973555,-0.0001263375240065645,0.002350526010611472,0.006850433350182296,-0.008828959289616911,-0.008828959289616911,0.002350526010611472,-0.03118862275973555
2018,5241,88941,43.400861245095065,44,0.0035978907365556943,0.008398826188147199,0.07612911930380814,0.8976062783193353,-0.11705011662768783,0.0009698704268065045,0.0005913095397661102,0.02466584780124391,-0.027214480489635706,-0.027214480489635706,0.0005913095397661102,-0.11705011662768783
2019,5241,86666,43.223420949391944,44,0.003634643343410334,0.010846237278748299,0.07647751136547204,0.8787875291348395,-0.17744029570312136,3.6752606854639595e-05,0.0024474110906010996,0.00034839206166389913,-0.018818749184495775,-0.018818749184495775,0.0024474110906010996,-0.17744029570312136
