efficiency_mode,sigma_sub,wedge_relief_national,omega,hourly_ratio_target,hourly_ratio_implied,bridge_residual,baseline_operator_h0,hours_cap,tau_national,tau_national_cap,pi_national,Y0,Y1,dY_pct,A_req_pct,A_req_signed_pct,A_req_nonnegative_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,restoration_residual,frozen_restoration_residual,max_kkt_violation,baseline_NF,reform_NF,compensated_NF,NF_init,gamma_F
bilateral,2.45,0.6166666666666667,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.9643615885828661,0.0,3.956243207630961,3.80471310994739,-3.8301512250635605,3.916667308736166,3.916667308736166,3.916667308736166,7.897853336279703,38.60008721172533,23.26987080059539,-15.330216411129943,4.440892098500626e-16,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4527077622764872,0.4552480771401858,0.3622594854508205,0.06
bilateral,2.45,0.6333333333333333,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.9224328238618721,0.0,3.956243207630961,3.8074745628398903,-3.7603513480698014,3.849011076729436,3.849011076729436,3.849011076729436,7.897853336279703,38.60008721172533,22.77666430742111,-15.823422904304222,-1.1102230246251565e-16,-1.1102230246251565e-16,2.001003529539247e-15,0.36225948545082054,0.45561768058621543,0.45796281387276633,0.3622594854508205,0.06
bilateral,2.45,0.65,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.8805040591408778,0.0,3.956243207630961,3.810063034786252,-3.6949238247727223,3.7854532966276055,3.7854532966276055,3.7854532966276055,7.897853336279703,38.60008721172533,22.293075282836508,-16.30701192888882,2.220446049250313e-16,-1.1102230246251565e-16,2.028759105154876e-15,0.36225948545082054,0.45847085583126457,0.46063217405213114,0.3622594854508205,0.06
bilateral,2.45,0.6666666666666666,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.8385752944198838,0.0,3.956243207630961,3.812483291415158,-3.6337481967365637,3.725900325569298,3.725900325569298,3.725900325569298,7.897853336279703,38.60008721172533,21.819096527671512,-16.780990684053823,2.220446049250313e-16,-1.1102230246251565e-16,1.2906342661267445e-15,0.36225948545082054,0.46126733048673807,0.46325558425357555,0.3622594854508205,0.06
bilateral,2.45,0.6833333333333333,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.7966465296988894,0.0,3.956243207630961,3.8147401679665776,-3.5767022459955666,3.6702550468547424,3.6702550468547424,3.6702550468547424,7.897853336279703,38.60008721172533,21.354705548571847,-17.245381663153484,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0711917464156784e-15,0.36225948545082054,0.4640072372634261,0.46583257534049444,0.3622594854508205,0.06
bilateral,2.45,0.7,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.7547177649778954,0.0,3.956243207630961,3.816838550145287,-3.5236624790100035,3.618417355684689,3.618417355684689,3.618417355684689,7.897853336279703,38.60008721172533,20.899865443276475,-17.700221768448856,4.440892098500626e-16,-1.1102230246251565e-16,1.1214987272190058e-15,0.36225948545082054,0.4666907938846688,0.46836277982828767,0.3622594854508205,0.06
bilateral,2.45,0.7166666666666667,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.7127890002569011,0.0,3.956243207630961,3.8187833559908313,-3.4745045849302603,3.5702846376956865,3.5702846376956865,3.5702846376956865,7.897853336279703,38.60008721172533,20.454525801657162,-18.14556141006817,0.0,-1.1102230246251565e-16,1.5655879370690684e-15,0.36225948545082054,0.4693182977702227,0.4708459287412759,0.3622594854508205,0.06
bilateral,2.45,0.7333333333333333,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.670860235535907,0.0,3.956243207630961,3.8205795188209226,-3.429103866728034,3.5257522363274507,3.5257522363274507,3.5257522363274507,7.897853336279703,38.60008721172533,20.018623614465106,-18.581463597260225,-4.440892098500626e-16,-1.1102230246251565e-16,4.5102810375396984e-15,0.36225948545082054,0.47189012067465586,0.47328184802539847,0.3622594854508205,0.06
bilateral,2.45,0.75,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.6289314708149127,0.0,3.956243207630961,3.822231971288673,-3.3873356441737945,3.484713905500003,3.484713905500003,3.484713905500003,7.897853336279703,38.60008721172533,19.592084182382806,-19.008003029342525,-1.1102230246251565e-16,-1.1102230246251565e-16,4.326400349086157e-15,0.36225948545082054,0.4744067033239414,0.47567045458065393,0.3622594854508205,0.06
bilateral,2.45,0.7666666666666666,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.5870027060939187,0.0,3.956243207630961,3.823745630579037,-3.3490756280189604,3.4470622445449406,3.4470622445449406,3.4470622445449406,7.897853336279703,38.60008721172533,19.174822018665573,-19.42526519305976,0.0,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4768685500898731,0.4780117519771726,0.3622594854508205,0.06
bilateral,2.45,0.7833333333333333,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.5450739413729244,0.0,3.956243207630961,3.8251253847556552,-3.314200265099998,3.412689112811673,3.412689112811673,3.412689112811673,7.897853336279703,38.60008721172533,18.766741739363656,-19.833345472361678,-2.220446049250313e-16,-1.1102230246251565e-16,1.4328815911568427e-15,0.36225948545082054,0.4792762237377544,0.48030582591763005,0.3622594854508205,0.06
bilateral,2.45,0.8,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.50314517665193,0.0,3.956243207630961,3.8263760802568663,-3.2825870543954916,3.3814860218430054,3.3814860218430054,3.3814860218430054,7.897853336279703,38.60008721172533,18.36773893582271,-20.23234827590262,2.220446049250313e-16,-1.1102230246251565e-16,1.3426759704060487e-15,0.36225948545082054,0.481630340278646,0.4825528395065412,0.3622594854508205,0.06
bilateral,2.45,0.8166666666666667,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.46121641193093604,0.0,3.956243207630961,3.8275025105283884,-3.254114834352251,3.353344503478728,3.353344503478728,3.353344503478728,7.897853336279703,38.60008721172533,17.9777010248622,-20.62238618686313,2.220446049250313e-16,-1.1102230246251565e-16,1.9628396130677572e-15,0.36225948545082054,0.483931563953313,0.4847530283840032,0.3622594854508205,0.06
bilateral,2.45,0.8333333333333334,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.4192876472099417,0.0,3.956243207630961,3.828509405770441,-3.2286640420422508,3.328156452687958,3.328156452687958,3.328156452687958,7.897853336279703,38.60008721172533,17.596508072710613,-21.003579139014718,2.220446049250313e-16,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.48618060237100735,0.4869066957778052,0.3622594854508205,0.06
bilateral,2.45,0.85,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,0.3773588824889477,0.0,3.956243207630961,3.8294014237687586,-3.2061169449225213,3.3058144443455673,3.3058144443455673,3.3058144443455673,7.897853336279703,38.60008721172533,17.224033589429343,-21.376053622295988,-2.220446049250313e-16,-1.1102230246251565e-16,1.1937499599934398e-14,0.36225948545082054,0.48837820182236685,0.489014207523681,0.3622594854508205,0.06
