case,experiment,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,eta_I,e_q,peak,hours_mixing,kappa,A_req_pct,A_req_frozen_pct,dY_pct,dInf_pp,dGHH_pct,CE_pct,classification
1,CES_grid,reprocessed,flat_below,120.0,40,agriculture,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,-0.8602337552215511,-0.8277118999906019,1.0705829919468224,-0.21817835056853196,4.377600628846649,3.4291204925965415,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,40,industry,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,0.616022006911976,0.6177209360249458,-0.6127191509014529,0.026954871010631543,2.9558016967240968,2.3153779957672085,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,40,services,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,-0.06262802270144974,-0.06324772286534497,0.0634326052088241,0.0007049054409458133,4.335494026563951,3.3961369874750944,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,40,AGGREGATE,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,0.02611257818940782,0.042889708587590114,-0.026741333092694664,-0.010500185051193212,4.021728198561041,3.150353755539482,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,36,agriculture,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,2.9149905522429576,2.8030407253335055,-3.4879557015870866,0.7194132854729696,0.38027486960999907,0.2978819811944992,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,36,industry,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,4.521047607784845,4.5346896400581205,-4.328902351331099,0.19298599831938934,2.19251839878038,1.7174727457112973,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,36,services,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,3.450850876547018,3.486270319482987,-3.3772223633785514,-0.041034575390203054,3.8572079615404813,3.0214795698733767,sensitivity_not_identified_set
1,CES_grid,reprocessed,flat_below,120.0,36,AGGREGATE,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,3.6488784881391956,3.6823331463961217,-3.6061324317362087,0.06449140858930114,3.2364551235068504,2.5352231800803664,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,40,agriculture,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.8616188129191737,-0.8289707126194257,1.0669657921285047,-0.21675244869833188,4.373086464741158,3.425584397380574,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,0.6154701363608517,0.6176412757632477,-0.6124690207094496,0.023971320331994672,2.95599594211562,2.3155301546572358,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,-0.06404958369015112,-0.06471967961235725,0.0649607452463341,0.0009127840227718398,4.337456302257733,3.3976741034352234,sensitivity_not_identified_set
2,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.55,0.5,0.6,40.0,0.0,0.0021098039890823555,0.026590301695450513,0.043332564635645276,-0.027251186891064094,-0.010853569989455192,4.021066804260154,3.1498356633371207,sensitivity_not_identified_set
