version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,eta_I,E_Q,h_star,hourly_ratio,passes_assumed_R_interval,restrictions_note,theta_36,theta_40,theta_44
sensitivity,bilateral,40,1.469,0.58,0.0021098039890823555,4.066200064292177,3.989293286182967,4.066200064292177,3.9892926598353684,-1.8913672936207937,1.8407242053672723,1.7842524757628153,40.91580502215658,41.491730302816606,0.5759252806600279,0.38576022265267346,0.30217884107792753,-2.6827650889070545,0.9297901125592198,-0.13839231727296344,-1.891367293620798,CES_grid,0.5,0.6,40.0,1.4713515996906072,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.622,0.0021098039890823555,3.894333741836717,3.808515876628521,3.894333741836717,3.8085148334579824,-2.203659750222664,2.0590119144995755,1.9587759653853176,40.915805022156576,41.69128099096911,0.7754759688125334,-0.02850692988834576,-0.022330428412537507,-2.9394581329086824,1.0183130947902175,-0.2825147121041955,-2.2036597502226605,CES_grid,0.33,0.6,40.0,2.0080867893653944,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.622,0.0021098039890823555,4.028233972263825,3.9420830696041,4.028233972263825,3.942082123156803,-2.138676731612721,2.0181320357592902,1.9257491083087386,40.91580502215656,41.64694432107747,0.7311392989209076,0.05791679380489288,0.04536815514716608,-2.8909581165817264,1.001593431842073,-0.24931204687306438,-2.1386767316127178,CES_grid,0.4,0.6,40.0,1.8873688783969218,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.622,0.0021098039890823555,4.19749030941805,4.11080709237617,4.19749030941805,4.110806249128789,-2.065120123026498,1.9690626072246697,1.886288609682607,40.91580502215659,41.59870104285403,0.6828960206974433,0.15559039405201622,0.12187914200741273,-2.832963425155047,0.9815969307793347,-0.2137536286507871,-2.0651201230264995,CES_grid,0.5,0.6,40.0,1.7563675210122969,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.66,0.0021098039890823555,4.041649865244115,3.9451656404936606,4.041649865244115,3.945164297504715,-2.387248474445147,2.162596009887352,2.0428976806813326,40.91580502215659,41.81887605185377,0.9030710296971778,-0.2728500798655341,-0.21373256256133505,-3.06282984660409,1.0608309548496835,-0.38524958269074044,-2.387248474445147,CES_grid,0.33,0.6,40.0,2.3724231985700173,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.66,0.0021098039890823555,4.164124601870707,4.067615198906585,4.164124601870707,4.067613973152274,-2.317639652779979,2.1253413424528134,2.012452493752548,40.915805022156604,41.77360206874622,0.8577970465896201,-0.18044629547757052,-0.14134959812409692,-3.0182060829625774,1.0454542820235657,-0.344887851840964,-2.3176396527799756,CES_grid,0.4,0.6,40.0,2.2299029700828243,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.66,0.0021098039890823555,4.318593785687708,4.221900462548551,4.318593785687708,4.221899363556828,-2.2390001916737012,2.0802489045867345,1.9759182944464548,40.91580502215659,41.71646265468315,0.8006576325265635,-0.07558738537370611,-0.05921011854273646,-2.964617605374492,1.0269853413127308,-0.30136792761194353,-2.2390001916737043,CES_grid,0.5,0.6,40.0,2.075232071833321,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,2.0,0.58,0.0021098039890823555,3.884317452403732,3.787669874794106,3.884317452403732,3.787667033584307,-2.488148272994972,2.2588962389646916,2.0150081949508625,40.91580502215656,42.31322821350879,1.3974231913522317,-0.44034785687747396,-0.3449391545540213,-3.020499341283102,1.0452917413384208,-0.5129406730502929,-2.488148272994974,CES_grid,0.33,0.6,40.0,2.249628896531725,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,2.0,0.58,0.0021098039890823555,4.008575417205452,3.9142759818668695,4.008575417205452,3.91427341015595,-2.352442589300774,2.1846535427163305,1.9656450229436295,40.91580502215657,42.2350391570358,1.3192341348792325,-0.2609811638236359,-0.20443524499518143,-2.9480154701859145,1.0202632135299237,-0.4246903326447876,-2.3524425893007788,CES_grid,0.4,0.6,40.0,2.042107409027437,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,2.0,0.58,0.0021098039890823555,4.169903800576339,4.078177456871603,4.169903800576339,4.078175177957126,-2.1997232572141923,2.089380350069603,1.9055029416018554,40.915805022156576,42.13570417274262,1.2198991505860457,-0.05824222112660612,-0.045623073215841456,-2.859603321424884,0.9897308546810258,-0.3298507904703333,-2.1997232572141914,CES_grid,0.5,0.6,40.0,1.8251868010958405,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,2.0,0.622,0.0021098039890823555,4.039391073431377,3.9285658572017743,4.039391073431377,3.9285624763926856,-2.743611950784919,2.374679493013221,2.0988359992122785,40.91580502215658,42.462469753284566,1.5466647311279835,-0.7781577432271592,-0.6095568988612747,-3.1434198264746165,1.0877293980073632,-0.6879215223176639,-2.743611950784917,CES_grid,0.33,0.6,40.0,2.6833081246264645,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
